year,state_po,candidate,party,electors
1988,SC,"Bush, George H.W.",republican,5
1988,SC,"Dukakis, Michael",democrat,3
1988,SD,"Bush, George H.W.",republican,2
1988,SD,"Dukakis, Michael",democrat,1
1988,TN,"Bush, George H.W.",republican,6
1988,TN,"Dukakis, Michael",democrat,5
1988,TX,"Bush, George H.W.",republican,16
1988,TX,"Dukakis, Michael",democrat,13
1988,UT,"Bush, George H.W.",republican,4
1988,UT,"Dukakis, Michael",democrat,1
1988,VT,"Bush, George H.W.",republican,2
1988,VT,"Dukakis, Michael",democrat,1
1988,VA,"Bush, George H.W.",republican,7
1988,VA,"Dukakis, Michael",democrat,5
1988,WA,"Dukakis, Michael",democrat,5
1988,WA,"Bush, George H.W.",republican,5
1988,WV,"Dukakis, Michael",democrat,3
1988,WV,"Bush, George H.W.",republican,3
1988,WI,"Dukakis, Michael",democrat,6
1988,WI,"Bush, George H.W.",republican,5
1988,WY,"Bush, George H.W.",republican,2
1988,WY,"Dukakis, Michael",democrat,1
1992,AL,"Bush, George H.W.",republican,4
1992,AL,"Clinton, Bill",democrat,4
1992,AL,"Perot, Ross",independent,1
1992,AK,"Bush, George H.W.",republican,1
1992,AK,"Clinton, Bill",democrat,1
1992,AK,"Perot, Ross",independent,1
1992,AZ,"Bush, George H.W.",republican,3
1992,AZ,"Clinton, Bill",democrat,3
1992,AZ,"Perot, Ross",independent,2
1992,AR,"Clinton, Bill",democrat,4
1992,AR,"Bush, George H.W.",republican,2
1992,AR,"Perot, Ross",independent,0
1992,CA,"Clinton, Bill",democrat,25
1992,CA,"Bush, George H.W.",republican,18
1992,CA,"Perot, Ross",independent,11
1992,CO,"Clinton, Bill",democrat,3
1992,CO,"Bush, George H.W.",republican,3
1992,CO,"Perot, Ross",independent,2
1992,CT,"Clinton, Bill",democrat,3
1992,CT,"Bush, George H.W.",republican,3
1992,CT,"Perot, Ross",independent,2
1992,DE,"Clinton, Bill",democrat,2
1992,DE,"Bush, George H.W.",republican,1
1992,DE,"Perot, Ross",independent,0
1992,DC,"Clinton, Bill",democrat,3
1992,FL,"Bush, George H.W.",republican,10
1992,FL,"Clinton, Bill",democrat,10
1992,FL,"Perot, Ross",independent,5
1992,GA,"Clinton, Bill",democrat,6
1992,GA,"Bush, George H.W.",republican,6
